%s codes deleted,%s Kode dihapus
%s codes imported,%s kode diimpor
%s codes not imported,%s Kode tidak diimpor
%s product in feed.,%s Produk dalam feed.
%s product not in feed.,%s produk tidak dalam feed.
Add new,Tambah baru
Attrib. Set Name,Atribut pengatur nama
Attributes map,Atribut peta
Cron Frequency,Frekuensi cron
Cron Hour,Jam cron
Delete,Hapus
Eav code,Kode Eav
FTP Password,Kata sandi FTP
FTP Path,Jalur FTP
FTP Server,Server FTP
FTP Settings,Pengaturan FTP
FTP User,Pengguna FTV
FTP: Can't delete files,FTP: Tidak dapat menghapus berkas ini
Feed,Feed
Feed code,Kode Feed
ID,ID
Import,Impor
Import attribute map,Impor atribut map
Import code,Impor kode
In feed,Dalam Feed
"In order to access your FTP account information, you must first register and verify your store in TheFind Merchant Center.  Click <a href=""https://merchant.thefind.com/mc/claim.fhtml"">here</a> to get started.","Dalam rangka untuk mengakses informasi account FTP Anda, Anda harus terlebih dahulu mendaftar dan memverifikasi toko Anda di Pusat Merchant TheFind.  Klik <a href=""https://merchant.thefind.com/mc/claim.fhtml"">here</a> untuk memulai."
Is imported,Diimpor
Item params,Parameter barang
Manage attributes,Atur atribut
Manage items,Atur barang
Not import,Tidak diimpor
Not publish,Tidak dipublikasi
Price,Harga
Product Name,Nama Produk
Product import,Impor Produk
Publish,Terbit
SKU,SKU
Settings,Pengaturan
The Find,Menemukan
TheFind Feed Filename,Nama berkas feed Thefind
TheFind feed,TheFind feed
Type,Jenis
Unable to process an import. ,Tidak dapat memproses sebuah impor
Update TheFind Item when Product is Updated,Perbarui item Thefind ketika produk di perbarui
