"Actions","Aksi"
"An error occurred while marking notification as read.","An error occurred while marking notification as read."
"An error occurred while marking the messages as read.","An error occurred while marking the messages as read."
"An error occurred while removing messages.","An error occurred while removing messages."
"An error occurred while removing the message.","An error occurred while removing the message."
"Are you sure?","Apakah anda yakin?"
"Date Added","tanggal ditambahkan"
"Last Update","Last Update"
"Mark as Read","Tandai telah dibaca"
"Mark as read","tandai telah dibaca"
"Message","Pesan"
"Messages Inbox","Inbox pesan"
"Notifications","Notifikasi"
"Please select messages.","Please select messages."
"Read Details","Baca detail"
"Remove","Menghapus"
"Severity","Kerasnya"
"Show List","Menampilkan daftar"
"Show Toolbar","Menampilkan toolbar"
"The message has been marked as read.","The message has been marked as read."
"The message has been removed.","The message has been removed."
"Total of %d record(s) have been marked as read.","Total of %d record(s) have been marked as read."
"Total of %d record(s) have been removed.","Total of %d record(s) have been removed."
"Unable to proceed. Please, try again.","Unable to proceed. Please, try again."
"Update Frequency","Update Frequency"
"Use HTTPS to Get Feed","Use HTTPS to Get Feed"
"critical","kritis"
"major","utama"
"minor","kecil"
"notice","pemberitahuan"
