"%s","%s"
"%s role is a special one and can\'t be changed.","%s role is a special one and can\'t be changed."
"%s role is a special one and can\'t be deleted.","%s role is a special one and can\'t be deleted."
"%s role is protected.","%s role is protected."
"ACL Attribute Rules","ACL Atribut Rule"
"ACL Attributes Information","ACL Atribut Information"
"Add","Tambah"
"Add Admin Role","Tambah Admin Role"
"Add New Role","Tambah Role Baru"
"Address Type","Alamat Tipe"
"Admin","Admin"
"Allow","Mengizinkan"
"An error occurred while deleting the role.","An error occurred while deleting the role."
"An error occurred while saving attribute rules.","An error occurred while saving attribute rules."
"An error occurred while saving role.","An error occurred while saving role."
"Api Rules Information","Api Rules Information"
"Assigned","Assigned"
"Associate to Website","Associate to Situs"
"Attribute Rules Information","Atribut Rules Information"
"Attribute Set","Atribut Set"
"Attributes","Atribut"
"Automatically Return Credit Memo Item to Stock","Automatically Return Credit Memo Item to Stock"
"Back","Kembali"
"Backorders","Backorders"
"Base Currency","Mata Uang Dasar"
"Base Customer Balance","Customer Balance Dasar"
"Base Discount","Discount Dasar"
"Base Discount Amount","Discount Jumlah Dasar"
"Base Item Subtotal","Item Subtotal Dasar"
"Base Item Subtotal Including Tax","Item Subtotal Including Tax Dasar"
"Base Original Price","Harga Asli Dasar"
"Base Price","Harga dasar"
"Base Price Including Tax","Harga dasar Including Tax"
"Base Shipping","Shipping Dasar"
"Base Shipping Discount","Shipping Discount Dasar"
"Base Shipping Tax","Shipping Tax Dasar"
"Base Subtotal","Subtotal Dasar"
"Base Subtotal Including Tax","Subtotal Including Tax Dasar"
"Base Tax Amount","Tax Jumlah Dasar"
"Base Total Due","Total Due Dasar"
"Base Total Paid","Total Paid Dasar"
"Base Total Refunded","Total Refunded Dasar"
"Buy Now URL","Buy Now URL"
"Can Be Divided into Multiple Boxes for Shipping","Can Be Divided into Multiple Boxes for Shipping"
"Canceled Qty","Canceled Kuantitas"
"Catalog","Katalog"
"Catalog Product","Katalog Produk"
"CatalogInventory","KatalogInventory"
"Category ID","Kategori ID"
"City","Kota"
"Company","Perusahaan"
"Country","Negara"
"Coupon Code","Coupon Code"
"Create","Membuat"
"Create Permanent Redirect for old URL","Create Permanent Redirect for old URL"
"Created From","Created From"
"Customer","Pelanggan"
"Customer Address","Address Pelanggan"
"Customer Address ID","Address ID Pelanggan"
"Customer Balance","Balance Pelanggan"
"Customer First Name","Nama Awal Pelanggan"
"Customer ID","ID Pelanggan"
"Customer Last Name","Nama Akhir Pelanggan"
"Customer Middle Name","Nama Tengah Pelanggan"
"Customer Prefix","Prefix Pelanggan"
"Customer Suffix","Suffix Pelanggan"
"Default Image","Gambar standar"
"Delete","Hapus"
"Deny","Deny"
"Disable automatic group change based on VAT ID","Disable automatic group change based on VAT ID"
"Discount","Discount"
"Discount Amount","Discount Jumlah"
"Discount Description","Discount Description"
"Edit","Edit"
"Edit %s ACL attribute rules","Edit %s ACL attribute rules"
