"Action,"Aksi"
"All types,"Semua Tipe"
"Backup file "%s" can't read or write,"File backup "%s" Tidak dapat membaca atau menulis"
"Backup file "%s" doesn't exist,"file backup "%s" tidak ada"
"Backup file doesn't exist,"file backup tidak ada"
"Backup file handler don't specify,"Penanganan file backup tidak ditentukan"
"Backup file path don't specify,"Jalur file backup tidak dikhususkan"
"Backups,"backup"
"Cannot read backup file,"Tidak dapat membaca file backup"
"Create Backup,"Buat backup"
"DB,"DB"
"Database was successfuly backed up.,"Database telah berhasil dibuat backup."
"Download,"Unduh"
"Error write to Backup file "%s","Penulisan Galat untuk membuat file backup"%s""
"File compressed with Zlib, but this extension is not installed on server,"File dipadatkan dengan Zlib, tapi ekstensi ini tidak diinstal di server"
"Size, byte,"ukuran, byte"
"Time,"Waktu"
"Type,"Tipe"
"Unable to create backup. Please, try again later.,"Tidak dapat membuat backup. Tolong, coba lagi nanti."
"Wrong order of creation for new backup,"Urutan yang salah dalam pembuatan backup baru"
