"%1$s incl tax.","%1$s incl tax."
"* Required Fields","* Dibutuhkan bidang"
"-- Select --","-- Pilih --"
"Add New Option","Tambah Opsi Baru"
"Add Selection","Tambah Pilihan"
"As Low as","Serendah"
"As low as","Mulai dari"
"Bundle Items","Bundel Barang"
"Bundle Product","Bundel Produk"
"Bundle Product View Summary","Bundel Produk View Summary"
"Buy %1$s","Buy %1$s"
"Buy %1$s for","Buy %1$s for"
"Buy %1$s for %2$s","Buy %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Buy %1$s for %2$s (%3$s incl. tax) each"
"Buy %1$s for %2$s each","Buy %1$s for %2$s each"
"Buy %1$s with %2$s discount each","Beli %1$s dengan %2$s diskon masing masing"
"Catalog Product View (Bundle)","Tampilan Produk Katalog (Bundle)"
"Checkbox","Checkbox"
"Choose a selection...","Pilih seleksi..."
"Click for price","Click for price"
"Close","Tutup"
"Default","Standar"
"Default Qty","Kuantitas Standar"
"Default Title","Judul Standar"
"Drop-down","Drop-down"
"Dynamic","Dinamis"
"Excl. Tax","Tidak Termasuk Pajak"
"Excl. Tax:","Tidak Termasuk Pajak:"
"Fixed","Tetap"
"From","Dari"
"From:","Dari:"
"Gift Message","Pesan Hadiah"
"Incl. Tax","Termasuk Pajak"
"Incl. Tax:","Termasuk Pajak:"
"Input Type","Masukan Tipe"
"Is Required","Diperlukan"
"Message:","Pesan:"
"Multiple Select","Banyak Pilihan"
"N/A","N/A"
"No options of this product are available.","Tidak ada pilihan tersedia untuk produk ini"
"None","Tidak satupun"
"Percent","Persen"
"Percent Discount","Persen Diskon"
"Please Select Products to Add","Silakan pilih produk untuk ditambahkan"
"Please enter a number greater 0 in this field.","Please enter a number greater 0 in this field."
"Please enter search conditions to view products.","Silakan masukan kondisi pencarian untuk melihat produk."
"Please select options for product.","Silakan Pilih Opsi Untuk Produk"
"Please specify product option(s).","Silakan tentukan pilihan produk."
"Position","Posisi"
"Price Range","Kisaran Harga"
"Price Type","Tipe Harga"
"Price as configured","Harga sebagaimana dikonfigurasi"
"Qty:","Kuantitas:"
"Radio Buttons","Tombol Radio"
"Required options are not selected.","Opsi yang diminta belum dipilih."
"SKU","SKU"
"Selected required options are not available.","Pilihan opsi yang diminta tidak tersedia."
"Separately","Terpisah"
"Ship Bundle Items","Mengirimkan barang yang dibundel"
"Shipment","Pengiriman"
"Store View Title","Tampilan Judul Toko"
"There is no defined renderer for ""%s"" option type.","Tidak ada penyaji yang ditetapkan untuk ""%s"" tipe opsi."
"This product is also part of bundle(s)","Produk ini juga merupakan bagian dari bundel"
"To","Ke"
"To:","Ke:"
"Together","Bersama"
"Total incl. Tax: %1$s","Total incl. Tax: %1$s"
"Use Default Value","Gunakan Nilai Standar"
"User Defined Qty","Gunakan Kuantitas yang ditetapkan"
"and","dan"
"each","setiap"
"save","simpan"
