"%d Catalog Price Rules based on "%s" attribute have been disabled.",""%d Aturan Katalog Harga berdasarkan "%s" atribut telah dinonaktifkan."
Actions,"Tindakan"
Active,"Aktif"
Add New Rule,"Tambah aturan baru"
An error occurred while deleting the rule. Please review the log and try again.,"Terjadi error saat menghapus aturan. Harap meninjau log dan coba lagi."
An error occurred while saving the rule data. Please review the log and try again.,"Terjadi error saat menyimpan data aturan. Harap meninjau log dan coba lagi."
Apply Rules,"Terapkan aturan"
Attribute Set,"Set atribut"
Catalog,"Katalog"
Catalog Price Rule,"Katalog aturan harga"
Catalog Price Rules,"Katalog aturan harga"
Category,"Kategori"
Conditions,"Kondisi"
Conditions (leave blank for all products),"Kondisi(biarkan kosong untuk semua produk)"
Conditions Combination,"Kombinasi Kondisi"
Customer Groups,"Kelompok Pelanggan
Customer Registered:%s,"Pelanggan Terdaftar:%s"
Customer is a New Buyer:%s,"Pelanggan adalah pembeli baru:%s"
Date Expire,"Tanggal kadaluarsa"
Date From,"Tanggal dari"
Date Start,"Tanggal mulai"
Date To,"Tanggal ke"
Delete Rule,"Hapus aturan"
Description,"Gambaran"
Description:%s,"Gambaran:%s"
Edit Rule,"Sunting aturan"
Edit Rule'%s',"Sunting aturan '%s'"
Expire at:%s,"Kadaluarsa pada:%s"
From Date,"dari tanggal"
General Information,"Informasi umum"
ID,"ID"
Inactive,"Tidak Aktif"
Invoices,"Faktur"
NOT LOGGED IN,"TIDAK MASUK"
Name:%s,"Nama:%s"
New Rule,"Aturan Baru"
No,"Tidak"
Options,"Opsi"
Order Credit Memos,"Memo Kredit Pembelian"
Order Gift Messages,"Pesan Hadiah Pembelian"
Order History,"Riwayat Pembelian"
Order Invoices,"Faktur pembelian"
Order Shipments,"Pengiriman Pembelian"
Priority,"Prioritas"
Product Attribute,"Atribut Produk"
Promotions,"Promosi"
Rule Information,"Infomasi Aturan"
Rule Name,"Nama Aturan"
Rule was successfully deleted,"Aturan berhasil dihapus"
Rule was successfully saved,"Aturan berhasil disimpan"
Rules were successfully applied,"Aturan berhasil diterapkan"
Save Rule,"Simpan Aturan"
Save and Apply,"Simpan dan Terapkan"
Shipments,"Pengiriman"
Start at:%s,"Dimulai dari:%s"
Status,"Status"
Stop further rules processing,"Hentikan pemrosesan aturan"
The page you are trying to save no longer exists,"Halaman yang akan anda simpan sudah tidak ada"
"There are rules that have been changed but not applied. Please,click Apply Rules in order to see immediate effect in catalog.","Ada aturan yang telah berubah tetapi tidak diterapkan. Silahkan,klik Terapkan Aturan untuk melihat efek langsung dalam katalog."
This rule no longer exists,"Aturan ini sudah tidak ada"
To Date,"Sampai Tanggal"
Unable to apply rules,"Tidak dapat menerapkan aturan"
Unable to find a page to delete,"Tidak dapat menemukan halaman untuk dihapus"
Update product's %s %s:%s,"Perbarui produk %s %s:%s"
Websites,"Situs"
Yes,"Ya"
