"Collected Files Count,""file yang dikumpulkan dihitung"""
"Compilation,""Kompilasi"""
"Compilation State,""Keadaan Kompilasi"""
"Compilation error,""Kompilasi Galat"""
"Compiled,""Dikompilasi"""
"Compiled Scopes Count,""Compiled Scopes Count"""
"Compiler Status,""Status Kompilator"""
"Compiler include path is disabled.,""Compiler include path is disabled."""
"Compiler include path is enabled.,""Compiler include path is enabled."""
"Directory ""%s"" must be writeable,""Direktori """"%s"""" harus dapat ditulisi"""
"Disable,""Menonaktifkan"""
"Disabled,""Menonaktifkan"""
"Enable,""Mengaktifkan"""
"Enabled,""Mengaktifkan"""
"File ""%s"" must be writeable,""File """"%s"""" harus dapat ditulisi"""
"Not Compiled,""Tidak Dikompilasi"""
"Run Compilation Process,""Jalankan Proses Kompilasi"""
"Scopes Compilation Settings,""Lingkup pengaturan kompilasi"""
"System,""Sistem"""
"The compilation has completed.,""kompilasi telah selesai."""
"Tools,""Alat"""
