"1.5.0.0 & later,""1.5.0.0 & nanti"""
"Action,""Aksi"""
"Add Author,""Tambah Penulis"""
"Add Contents Path,""Tambah Jalur konten"""
"Add PHP Extension dependency,""Tambah Depedensi Ekstensi PHP"""
"Add Package dependency,""Tambah Paket Depedensi"""
"Add files,""Tambah berkas"""
"Authors,""Penulis"""
"Channel,""Saluran"""
"Contents,""Contents"""
"Create Extension Package,""Membuat Paket Ekstensi"""
"Dependencies,""Depedensi"""
"Description,""Deskripsi"""
"Edit Extension,""Edit Ekstensi"""
"Email,""Email"""
"Extension,""Ekstensi"""
"Extensions,""Ekstensi"""
"Failed to create the package.,""Gagal untuk membuat paket."""
"Failed to load the package data.,""Gagal untuk memuat paket data."""
"Failed to save the package.,""Gagal untuk menyimpan data."""
"Files,""Berkas"""
"Folder,""Folder"""
"Ignore,""Abaikan"""
"Include,""Termasuk"""
"License,""Lisensi"""
"License URI,""Lisensi URI"""
"Load Local Package,""Memuat Paket Lokal"""
"Load local Package,""Load local Package"""
"Magento Connect,""Koneksi Magento"""
"Magento Connect Manager,""Mengelola Koneksi Magento"""
"Max,""Max"""
"Maximum,""Maksimum"""
"Min,""Min"""
"Minimum,""Minimum"""
"Name,""Nama"""
"New Extension,""Ekstensi Baru"""
"PHP Version,""Versi PHP"""
"Package,""Paket"""
"Package Extensions,""Ekstensi Paket"""
"Package File Name,""Paket Nama File"""
"Package Info,""Info Paket"""
"Packages,""Paket"""
"Path,""Jalan"""
"Pre-1.5.0.0,""Pre-1.5.0.0"""
"Release Info,""Info Rilis"""
"Remove,""Menghapus"""
"Save As...,""Simpan sebagai..."""
"Save Data and Create Package,""Simpan Data dan Membuat Paket"""
"Save package with custom package file name,""Simpan paket dengan nama file paket pesanan"""
"Summary,""Ringkasan"""
"Supported releases,""Supported releases"""
"System,""Sistem"""
"Target,""Target"""
"The package %s data has been loaded.,""Paket %s data telah dimuat."""
"The package data has been saved.,""The package data has been saved."""
"There was a problem saving package data,""Ada masalah menyimpan data paket"""
"Type,""Jenis"""
"User,""Pengguna"""
