Authorization,Otorisasi
Card Verification Number,Nomor verifikasi kartu
Credit Card Number,Nomor kartu kredit
Credit Card Number: xxxx-%s,Nomor kartu kredit: xxxx-%s
Credit Card Type,Jenis kartu kredit
Credit Card Type: %s,Jenis kartu kredit: %s
Credit Card Types,Jenis kartu kredit
Credit Card Verification,verifikasi kartu kredit
Cybersource (SOAP Toolkit),Cybersource (perangkat SOAP)
Debug,Debug
Enabled,Aktif
Error in refunding the payment.,Galat dalam mengembalikan pembayaran
Expiration Date,Tanggal kadaluarsa
Gateway request error: %s,Permintaan gateway galat: %s
Invalid transaction id or token,Id atau buksti transaksi tidak valid
Issue Number,Nomor penerbitan
JCB,JCB
Laser,Laser
Maestro (International),Maestro (Internasional)
Maestro/Solo(UK Domestic),Maestro/Solo(UK Domestic)
Merchant ID,ID Pelanggan
Name on Card,Nama pada kartu
Name on the Card: %s,Nama pada kartu: %s
New Order Status,Status pesanan baru
Payment Action,Aksi pembayaran
Payment from Applicable Countries,Pembayaran dari Negara terkait
Payment from Specific Countries,Pembayaran dari negara tertentu
SOAP extension is not enabled. Please contact us.,Perluasan SOAP tidak diaktifkan. Silahkan hubungi kami.
Sale,Penjualan
Security Key,Kunci keamanan
Sort Order,Jenis pesanan
Start Date,Tanggal mulai
Switch/Solo/Maestro(UK Domestic) Only,pindah /Solo/Maestro(UK Domestic) saja
Switch/Solo/Maestro(UK Domestic) card issue number: %s,pindah/Solo/Maestro(UK Domestic) Nomor penerbit kartu: %s
Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s,pindah/Solo/Maestro(UK Domestic) Tanggal mulai kartu: %s/%s
Test Mode,Mode tes
There is an error in processing the payment. Please try again or contact us.,Ada galat dalam proses pembayaran. Silakan coba lagi atau hubungi kami.
Title,Judul
UATP,UATP
What is this?,Apakah ini?
Year,Tahun
