"Add New Row","Tambahkan baris baru"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'."
"An error occurred while getting requested content. Please contact the store owner.","An error occurred while getting requested content. Please contact the store owner."
"An error occurred while getting the requested content.","An error occurred while getting the requested content."
"An error occurred while getting the requested content. Please contact the store owner.","An error occurred while getting the requested content. Please contact the store owner."
"An error occurred while saving the file(s).","Error terjadi ketika menyimpan file."
"Availability:","Availability:"
"Back","Kembali"
"Canceled","Dibatalkan"
"Cannot connect to remote host, error: %s.","Cannot connect to remote host, error: %s."
"Catalog Product View (Downloadable)","Catalog Product View (Downloadable)"
"Customer My Account Downloadable Items","Customer My Account Downloadable Items"
"Date","Tanggal"
"Default Link Title","Judul tautan standar"
"Default Maximum Number of Downloads","Jumlah maksimum standar unduhan"
"Default Sample Title","Contoh Judul Standar"
"Delete","Delete"
"Disable Guest Checkout if Cart Contains Downloadable Items","Disable Guest Checkout if Cart Contains Downloadable Items"
"Downloadable Information","Informasi yang dapat diunduh"
"Downloadable Product","Produk yang dapat diunduh"
"Downloadable Product Options","Pilihan produk yang dapat diunduh"
"Downloadable product Section","Bagian produk yang dapat diunduh"
"Edit","Sunting"
"Edit item parameters","Parameter penyuntingan barang"
"Excl. Tax","Tidak termasuk pajak"
"File","file"
"From:","Dari:"
"Gift Message","Pesan hadiah"
"Go to <a href=""%s"">My Downloadable Products</a>","Pergi ke <a href=""%s"">Produk saya yang dapat diunduh</a>"
"Guest checkout will only work with shareable.","Checkout Tamu hanya akan bekerja pada yang dapat dibagikan"
"In stock","Stok ada"
"Incl. Tax","Termasuk pajak"
"Invalid download URL host.","Invalid download URL host."
"Invalid download URL scheme.","Invalid download URL scheme."
"Invalid download link type.","Invalid download link type."
"Invoiced","Faktur"
"Links can be purchased separately","Tautan dapat dibeli secara terpisah"
"Max. Downloads","Maksimal unduhan:"
"Message:","Pesan:"
"Move to Wishlist","Move to Wishlist"
"My Downloadable Products","Produk Unduhan"
"Open Links in New Window","Buka tautan di jendela baru"
"Order #","Pesanan#"
"Order Item Status to Enable Downloads","Status Produk pesanan dapat diunduh"
"Order id cannot be null","Id pesanan tidak bisa batal"
"Order item id cannot be null","Id barang pesanan tidak dapat batal"
"Ordered","Dipesan"
"Out of stock","Habis"
"Pending","Tertunda"
"Please log in to download your product.","Silakan masuk untuk mengunduh produk anda"
"Please set resource file and link type.","Please set resource file and link type."
"Please specify product link(s).","Silakan tentukan tautan produk,"
"Price","Harga"
"Qty","Qty"
"Refunded","Dikembalikan"
"Remaining Downloads","Sisa unduhan"
"Remove Item","Remove Item"
"Requested link does not exist.","Requested link does not exist."
"Sample","Contoh Judul Standar"
"See price before order confirmation.","See price before order confirmation."
"Shareable","Dapat dibagi"
"Shipped","Dikirim"
"Sort Order","Jenis Pesanan"
"Start Download","Mulai unduh"
"Status","Status"
"The file does not exist.","The file does not exist."
"The link has expired.","The link has expired."
"The link is not available.","The link is not available."
"Title","Judul"
"To:","Ke:"
"U","U"
"Unlimited","Tidak terbatas"
"Use Content-Disposition","Gunakan Disposisi-konten"
"Use Default Value","Use Default Value"
"View Order","Lihat pesanan"
"What's this?","What's this?"
"You have not purchased any downloadable products yet.","Anda belum pernah membeli Produk Unduhan."
"attachment","Lampiran"
"download","Unduh"
"inline","Sejajar"
"sample","Contoh"
