"Account Number,""Nomor Rekening"""
"Card Verification Number,""Verifikasi nomor kartu"""
"Credit Card Number,""Nomor Kartu Kredit"""
"Credit Card Number: xxxx-%s,""Nomor Kartu Kredit: xxxx-%s"""
"Credit Card Type,""Jenis Kartu Kredit"""
"Credit Card Type: %s,""Jenis Kartu Kredit: %s"""
"Credit Card Types,""Jenis Kartu Kredit"""
"Credit Card Verification,""Verifikasi Kartu Kredit"""
"Debug Flag,""Debug ditandai"""
"Demo Mode,""Mode Demo"""
"Enabled,""Mengaktifkan"""
"Expiration Date,""Tanggal Kadaluarsa"""
"Flo2Cash Payment Web Service,""Flo2Cash Pembayaran Layanan Web"""
"For ""Authorize"" or ""Capture"" transactions only.,""Untuk """"otorisasi"""" atau """"Menangkap"""" Hanya transaksi."""
"For ""Purchase"" transactions only.,""Untuk """"Pembelian"""" hanya transaksi."""
"Name on Card,""Nama pada Kartu"""
"Name on the Card: %s,""Nama pada Kartu: %s"""
"New Order Status,""Status Order Baru"""
"Password,""Kata Sandi"""
"Payment Action,""Aksi Pembayaran"""
"Payment from Applicable Countries,""Pembayaran dari Negara yang berlaku"""
"Payment from Specific Countries,""Pembayaran dari negara tertentu"""
"Please Select,""Tolong pilih"""
"Sort Order,""Sortir urutan"""
"Title,""Judul"""
"Username,""Nama pengguna"""
"What is this?,""Apa ini?"""
