"* Required Fields","* Required Fields"
"Add","Add"
"Add gift message for shopping cart","Add gift message for shopping cart"
"Add gift messages for quote item of shopping cart","Add gift messages for quote item of shopping cart"
"Add gift messages to products of shopping cart","Add gift messages to products of shopping cart"
"Add gift options","Add gift options"
"Add gift options for Individual Items","Add gift options for Individual Items"
"Add gift options for the Entire Order","Add gift options for the Entire Order"
"Add gift options.","Add gift options."
"Allow Gift Messages for Order Items","Allow Gift Messages for Order Items"
"Allow Gift Messages on Order Level","Allow Gift Messages on Order Level"
"Are you sure?","Are you sure?"
"Cancel","Cancel"
"Do you have any gift items in your order?","Do you have any gift items in your order?"
"Edit","Edit"
"From","From"
"Gift Message","Gift Message"
"Gift Message API","Gift Message API"
"Gift Options","Gift Options"
"Gift Options for","Gift Options for"
"Gift Options for Individual Items","Gift Options for Individual Items"
"Gift Options for the Entire Order.","Gift Options for the Entire Order."
"Gift Options for this address.","Gift Options for this address."
"Item %d of %d","Item %d of %d"
"Message","Message"
"No","No"
"OK","OK"
"Save Gift Message","Save Gift Message"
"To","To"
"Unknown entity type","Unknown entity type"
"Use config","Use config"
"Yes","Yes"
"You can leave a box blank if you don't wish to add a gift message for the item.","You can leave a box blank if you don't wish to add a gift message for the item."
"You can leave a box blank if you don't wish to add a gift message for this address.","You can leave a box blank if you don't wish to add a gift message for this address."
"You can leave a box blank if you don't wish to add a gift message for whole order.","You can leave a box blank if you don't wish to add a gift message for whole order."
"Your gift message has been successfully removed","Your gift message has been successfully removed"
"Your gift message has been successfully saved","Your gift message has been successfully saved"
"Your gift message successfully removed","Your gift message successfully removed"
"Your gift message successfully saved","Your gift message successfully saved"
