"-- Please Select --","-- Please Select --"
"Account Registration","Pendaftaran Akun"
"All fields of script types have to be filled.","Semua field jenis skrip harus diisi. "
"Attributes","Atribut"
"Category View Optimization","Optimasi Tampilan Kategori"
"Control Script","Pengaturan Skrip"
"Conversion Page","Halaman Konversi"
"Conversion Page URL","Konversi Halaman URL"
"Conversion Script","Skrip Konversi"
"Enable","Mengaktifkan"
"Google Optimizer Scripts","Skrip Google Optimizer "
"Google Website Optimizer","Situs Google Optimizer"
"Install Scripts","Instal Skrip"
"Multi Address Checkout","Checkout Multi Alamat"
"One Page Checkout"," Checkout Satu Halaman"
"Order Success (Multi Address Checkout)","PesananBerhasil (Checkout Multi Alamat )"
"Order Success (One Page Checkout)","Pesanan Berhasil( Checkout Satu Halaman)"
"Original Page","Halaman Asli"
"Other","Lainnya"
"Page Type","Jenis Halaman"
"Page View Optimization","Optimasi Tampilan Halaman"
"Please copy and paste this value to experiment edit form","Tolong salin dan tempel nilai ini untuk eksperimen mengedit formulir  "
"Please copy and paste this value to experiment edit form.","Please copy and paste this value to experiment edit form."
"Please select store view to see the URL","Silakan pilih tampilan toko untuk melihat URL"
"Please select store view to see the URL.","Please select store view to see the URL."
"Product View Optimization","Optimisasi Tampilan Produk"
"Scripts Install URL","Instal Skrip URL"
"Shopping Cart","Daftar Belanja"
"The limit is 8 attributes only.","The limit is 8 attributes only."
"Tracking Script","Melacak Skrip"
"Use Default","Gunakan standar"
"Use Default Values","Gunakan Nilai Standar"
"Variant Page","Varian Halaman"
