" in rows: ","Dalam baris:"" "
"%s file does not exists or is not readable","%s file does not exists or is not readable"
"-- Please Select --","Silakan pilih"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adapter harus merupakan contoh Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter object must be an instance of %s","Adapter object must be an instance of %s"
"Adapter type must be a non empty string","Jenis Adapter harus serangkaian yang tidak kosong"
"Append Complex Data","Append Complex Data"
"Attribute Code","Atribut Code"
"Attribute Label","Atribut Label"
"Attribute does not has options, so filtering is impossible","Atribut does not has options, so filtering is impossible"
"Begin data validation","Begin data validation"
"Begin export of %s","Begin export of %s"
"Begin import of ""%s"" with ""%s"" behavior","Begin import of ""%s"" with ""%s"" behavior"
"CSV","CSV"
"Can not determine attribute filter type","Tidak bisa menentukan jenis atribut filter"
"Can not find required columns: ","Tidak bisa menemukan kolom yang diminta:"
"Can not find required columns: %s","Tidak bisa menemukan kolom yang diminta: %s"
"Can not get autoincrement value","Tidak bisa mendapatkan nilai auto increment"
"Cannot get autoincrement value","Tidak bisa mendapatkan nilai auto increment"
"Check Data","Cek data"
"Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d","Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d"
"Column names have duplicates","Nama kolom memiliki duplikat"
"Column names is empty or is not an array","Nama kolom kosong atau tidak ada di susunan"
"Column names: ""%s"" are invalid","Nama kolom: ""%s"" tidak valid"
"Continue","Lanjutkan"
"Customers","Pelanggan"
"Data is invalid or file is not uploaded","Data tidak valid atau file tidak diunggah"
"Delete Entities","Hapus Entities"
"Destination directory is not writable","Direktori yang dituju tidak dapat ditulis"
"Destination file is not writable","file yang dituju tidak dapat ditulis"
"Destination file path must be a string","Jalur file tujuan harus sebuah rangkaian"
"Done import data validation","Done import data validation"
"Duplicate Unique Attribute for '%s'","Duplicate Unique Attribute for '%s'"
"Entity Attributes","Atribut entitas"
"Entity Type","Entitas Tipe"
