"%s Index process is working now. Please try run this process later.","%s Index process is working now. Please try run this process later."
"%s index was rebuilt.","%s index was rebuilt."
"'%s' Index Process Information","'%s' Index Process Information"
"Action","Aksi"
"Cannot initialize the indexer process.","Cannot initialize the indexer process."
"Change Index Mode","Change Index Mode"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes."
"Description","Keterangan"
"Disable","Nonaktifkan"
"Enable","Aktifkan"
"General","General"
"Index","Indeks"
"Index Description","Keterangan Indeks"
"Index Management","Kelola Indeks"
"Index Mode","Mode Indeks"
"Index Name","Nama Indeks"
"Index mode","Mode indeks"
"Indexer code is not defined.","Indexer code is not defined."
"Indexer model is not defined.","Indexer model is not defined."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Indexer model should extend Mage_Index_Model_Indexer_Abstract."
"Last Run","Terakhir Dijalankan"
"Manual Update","Perbarui Manual"
"Mode","Mode"
"Never","Tidak Pernah"
"One or more of the Indexes are not up to date:","One or more of the Indexes are not up to date:"
"Pending Events","Pending Events"
"Please select Index(es)","Please select Index(es)"
"Please select Indexes","Please select Indexes"
"Process Information","Process Information"
"Processing","Memproses"
"Ready","Siap"
"Refresh","Segarkan"
"Reindex Data","Re-indeks Data"
"Reindex Required","Perlu Re-indeks"
"Status","Status"
"System","Sistem"
"The index has been saved.","The index has been saved."
"There was a problem with reindexing process.","There was a problem with reindexing process."
"There was a problem with saving process.","There was a problem with saving process."
"Total of %d index(es) have changed index mode.","Total of %d index(es) have changed index mode."
"Total of %d index(es) have reindexed data.","Total of %d index(es) have reindexed data."
"Update on Save","Perbarui saat Simpan"
