"
                                Use in posting data from Magento to Ogone. <br/>
                                Use in data checking by Ogone before the payment.
                            ","
                                Use in posting data from Magento to Ogone. <br/>
                                Use in data checking by Ogone before the payment.
                            "
"
                                Use in posting data from Ogone to Magento. <br/>
                                Use in feedback data checking by Magento
                            ","
                                Use in posting data from Ogone to Magento. <br/>
                                Use in feedback data checking by Magento
                            "
Authorization,Otorisasi
Authorization Waiting from Ogone,Menunggu otorisasi dari Ogone
"Authorization not known: A technical problem arose during authorization process, giving unpredictable result","Otorisasi tidak diketahui: Sebuah masalah teknis muncul selama proses otorisasi, memberikan hasil yang tak terduga"
Background Color of Ogone Template,Latar Belakang Warna Kerangka Ogone
Button Background Color of the Ogone Template,Warna latar belakang tombol dari kerangka ogone
Button Text Color of the Ogone Template,Warna teks tombol dari kerangka ogone
Cancelled Ogone,Membatalkan ogone
Debug,Debug
Declined Ogone,Menolak ogone
Declined Order on Ogone side.,Menolak pesanan pada sisi ogone.
Direct Sale,Penjualan langsung
"E.g: ""Verdana"".","Con: ""Verdana""."
"E.g: ""black"".","Con: ""Hitam""."
"E.g: ""white"".","Con: ""Putih""."
Enabled,Aktif
Exception not defined,Pengecualian tidak di tentukan
Font Family of the Ogone Template,Keluarga hurup dari kerangka ogone
"For production, replace ""test"" with ""prod"". Example: https://secure.ogone.com/ncol/prod/orderstandard.asp","Untuk produksi, ganti ""test"" dengan ""prod"". Contoh: https://secure.ogone.com/ncol/prod/orderstandard.asp"
Gateway URL,Gateway URL
Horizontally grouped logo with group name on left,Secara horizontal dikelompokkan logo dengan nama grup di sebelah kiri
Horizontally grouped logo with no group name,Secara horizontal dikelompokkan logo tanpa nama grup
"If you choose ""No Operation"", Ogone will use default payment procedure setup in Ogone configuration.","Jika Anda memilih ""Tidak ada Operasi"", Ogone akan menggunakan standar pembayaran pengaturan prosedur dalam konfigurasi Ogone."
"If you choose ""Ogone Template"", you will need to fill in all the following fields.","Jika Anda memilih ""Kerangka Ogone"", Anda akan perlu untuk mengisi semua kolom berikut."
Layout of Payment Methods,Tampilan metode pembayaran
Logo of the Ogone Template,Logo dari kerangka ogone
Magento,Magento
Ogone,Ogone
Ogone Default Operation,operasi standar ogone
Order can\'t save,Pesanan dapat/tidak dapat di simpan
PSPID,PSPID
Payment Action,Aksi pembayaran
Payment Template,Kerangka pembayaran
Payment transaction has been declined.,Transaksi pembayaran telah di tolak
"Pembayaran tidak menentu: Sebuah masalah teknis timbul selama proses pembayaran, memberikan hasil yang tak terduga","Pemba: A technical problem arose during payment process, giving unpredictable result"
menunggu Ogone,Pending Ogone
"Please, wait a moment. This page will transfer your data to Ogone payment gateway in a few seconds.","Mohon, tunggu sebentar. Halaman ini akan mentransfer data ke Ogone gateway pembayaran dalam beberapa detik"
Processed Ogone Payment,Memproses pembayaran ogone
Processed by Ogone  ,di proses oleh ogone
Processing Ogone Payment,Memproses pembayaran ogone
SHA-1- OUT Signature,tanda tangan SHA-1- OUT 
SHA-1-IN Signature,tanda tangan SHA-1-IN 
Start Ogone Processing,mulai memproses ogone
Table Background Color of the Ogone Template,Warna latar belakang tabel dari kerangka ogone
Table Text Color of the Ogone Template,warna teks tabel dari kerangka ogone
Text Color of the Ogone Template,warna teks dari kerangak ogone
The hash is not valid,Hash tidak valid
The order cannot be canceled for a system reason.,Pesanan tidak dapat di batalkan untuk alasan sistem
The order cannot be saved for a system reason.,Pesanan tidak dapat di simpan untuk alasan sistem
The order cannot be saved.,Pesanan tidak dapat di simpan
The order is not valid,Pesanan tidak valid
The order was canceled on ogone side.,Pesanan di batalkan pada sisi ogone
Title,Judul
Title of the Ogone Template,Judul dari kerangka ogone
URL/filename of the logo.<br />The URL must be absolute and stored on a secure server.,URL/nama berkas dari logo.<br />URL harus mutlak dan disimpan pada server yang aman.
Unknown exception,Eksepsi tidak diketahui
Verical list,Daftar verical
Waiting Authorization,Menunggu otorisasi
You can arrange the layout/list of the payment methods on Ogone payment page.,Anda dapat mengatur tata letak / daftar metode pembayaran pada halaman pembayaran Ogone.
You will be redirected to Ogone website when you place an order.,Anda akan diarahkan ke situs Ogone ketika Anda memesan.
