%s Store,%s toko
About Your Order,Tentang pesanan Anda
Account Information,Informasi akun
Adapter Name,Nama adafter
Arabic,Bahasa Arab
Back,Kembali
Back to My Orders,Kembali ke pesanan saya
Baltic,Baltik
Billing Address,Alamat tagihan
Billing to Name,Penagihan untuk Nama
Categories,Kategori
Category %s cannot be saved because of %s.,Kategori %s Tidak dapat di simpan karena %s.
Central European,Eropa tengah
Check Requirements,Cek permintaan
Comments History,Riwayat komentar
Create under default website,Buat di bawah situs standar
Created At,Di buat pada
Currency,Kurs
Customer Name,Nama pelanggan
Customers,Pelanggan
Cyrillic,huruf cyrillic
DB Name,Nama DB
DB Password,Kata sandi DB
DB Username,Nama Pengguna DB
Database Connection Charset,Koneksi Database Charset
Database Data Charset,Koneksi Database Charset
Date,Tanggal
Delete Profile,Hapus Profil
Delivery Address,Alamat pengiriman
East Asian,Asia Timur
Edit osCommerce Profile,Sunting Profil osCommerce
Edit osCommerce Profile :: %s,Sunting profil osCommerce :: %s
Email,Email
Email %s cannot be saved because of %s.,Email %s Tidak bisa di simpan karena %s.
Error for checking store locale!,Galat untuk pengecekan toko lokal!
Final Price,Harga Akhir
Finished profile execution.,Menyelesaikan eksekusi profil
General Information,Informasi umum
Greek,Bahasa Yunani
Hebrew,Bahasa ibrani
ID,ID
IP or Hostname,IP atau nama host
Import Options,Pilihan impor
Import and Export,Impor dan ekspor
Importing...,Mengimpor…..
Items Ordered,Barang di pesan
Japanese,Bahasa jepang
Korean,Bahasa korea
Languages table error ,Tabel bahasa Galat
Locale Selection,Seleksi lokal
My Previous Orders,Pesanan saya sebelumnya
Name,Nama
Need to check Customers for Orders,Perlu untuk memeriksa Pelanggan untuk Pesanan
New Profile,Profil Baru
New osCommerce Profile,Profil osCommerce baru
No osCommerce profile,Tidak ada profil osCommerce
No osCommerce profile loaded...,Tidak ada profil osCommerce dimuat ...
Notice: Please place all images under MAGENTO_ROOT/media/import/ with writable permission to all files including sub folders.,Perhatian: Tolong tempatkan semua gambar di bawah MAGENTO_ROOT/media/impor/ dengan izin yang dapat ditulis oleh semua berkas termasuk sub folder.
Order,Pesanan
Order #,Pesanan#
Order # %s,Pesanan # %s
Order #%s failed to import because the customer ID #%s associated with this order could not be found.,Pesanan #%sgagal untuk mengimpor karena ID pelanggan #%s berhubungan dengan pesanan ini tidak dapat ditemukan.
Order Date,Tanggal pesanan
Order Date:,Tanggal pesanan:
Order Status,Status Pesanan
Order Total,Total pesanan
Order Totals,Total pesanan
Orders,Pesanan
Payment Information,Informasi pemabayaran
Please check at least an option in Import Options\n,Silakan periksa setidaknya pilihan dalam Pilihan Impor
Please check default website or input website code in General Information\n,Silakan cek situs web standar atau kode input situs web dalam Informasi Umum
Please select a timezone\n,Silakan pilih zona waktu
Port (Default as 3306),Port (Standar sebagai 3306)
Prefix,Prefix
Price,Harga Akhir
Product,Produk
Product Name,Nama produk
Products,Produk
Purchased Date,Tanggal pembelian
Purchased Month,Bulan pembelian
Purchased Year,Tahun pembelian
Qty,Kuantitas
Qty Ordered,Kuantitas pesanan
Root Category for %s,Kategori sumber untuk %s
Run Profile,Jalankan profil
SKU,SKU
SKU %s cannot be saved because of %s.,SKU %s tidak dapat di simpan karena %s.
Sales,Penjualan
Save Profile,Simpan profil
Save and Continue Edit,Simpan dan lanjutkan sunting
Select a Connection Charset,Pilih sebuah koneksi Charset
Select a Data Charset,Pilih sebuah data Charset
Select a timezone,Pilih zona waktu
Select a website,Pilih sebuah situs web
Send Subscription Notification to Customers,Pilih notifikasi langganan ke pelanggan
Ship To,Kirim ke
Ship to Name,Kirim atas nama
Shipping & Handling Information,Pengiriman & Penanganan Informasi
Shipping Address,Alamat pengiriman
Shipping Method,Metode pengiriman
Simplified Chinese,Bahasa Cina Sederhana
South Asian,Asia Selatan
Start Running,Mulai menjalankan
"Starting profile execution, please wait...","Menjalankan eksekusi profil, silakan tunggu…"
Subtotal,Subtotal
System,Sistem
Thai,Thai
The data has been imported.,Data telah di impor
The osCommerce profile has been deleted.,Profil osCommerce telah di hapus.
The osCommerce profile has been saved.,Profil osCommerce telah di simpan.
This order no longer exists.,Pesanan tidak ada
Timezone,Zona waktu
"To import orders, Magento requires that customers also be imported.","Untuk megimpor pesanan, Magento membutuhkan pelanggan yang di impor."
Total imported <strong>%s</strong> records (%s),Total di impor <strong>%s</strong> catat(%s)
Traditional Chinese,Bahasa tradisional cina
Unicode,Unicode
Updated At,Diperbarui pada
View #%s,Lihat #%s
View Order,Lihat pesanan
Warning: Please do not close window during importing/exporting data.,Pringatan: mohon tidak menutup window selama mengimpor/mengekspor data.
Website Code,Kode situs web
Western,Barat
osCommerce,osCommerce
osCommerce Orders,Pesanan osCommerce
osCommerce Profile,Profil osCommerce
osCommerce Profiles,Profil osCommerce
processed <strong>%s%% %s/%s</strong> records,di proses <strong>%s%% %s/%s</strong> catat
records,Catat
