%s Item(s),"%s Barang"
&copy; 2008 Magento Demo Store. All Rights Reserved.,"&copy; 2008 Magento Demo Toko. Semua Hak Dilindungi."
(Shift-)Click or drag to change value,"(Shift-) Klik atau geser untuk merubah nilai"
(ver. %s),"(ver. %s)"
#NAME?,"#NAMA?"
#NAME?,"#NAMA?"
- Use the %s buttons to select month,"Gunakan tombol  %s untuk memilih bulan"
"- Use the %s, %s buttons to select year","Tahan tombol %s, %s untuk memilih tahun"
#NAME?,"#NAMA?"
#NAME?,"#NAMA?"
About the calendar,"Mengenai Kalender"
All Empty Layout Pages,"Semua Tampilan kosong halaman"
All One-Column Layout Pages,"Semua tampilan halaman satu kolom"
All Pages,"Semua halaman"
All Pages (Print Version),"Semua Halaman (versi cetak"
All Three-Column Layout Pages,"Semua tampilan tiga kolom halaman"
All Two-Column Layout Pages (Left Column),"Semua tampilan dua kolom halaman (kolom kiri)"
All Two-Column Layout Pages (Right Column),"Semua tampilan halaman dua kolom (Kolom kanan)"
Breadcrumbs,"Breadcrumbs"
"Click <a href="%s">here</a> if nothing has happened","Klik <a href="%s">disini</a> jika tidak ada yang terjadi"
Close,"tutup"
Close Window,"Tutup Jendela"
DHTML Date/Time Selector,"DHTML Pemilih Tanggal/Waktu"
Date selection:,"Pilihan tanggal:"
Default Description,"Deskripsi standar"
Default welcome msg!,"Pesan selamat datang standar!"
Display %s first,"Tampilkan %s Pertama"
Distributed under GNU LGPL. See %s for details.,"Didistribusikan dibawah GNU LGPL. Lihat %s untuk rincian."
Drag to move,"Geser untuk memindahkan"
For latest version visit: %s,"Untuk versi terbaru kunjungi: %s"
Go Today,"Pergi hari ini"
Help Us to Keep Magento Healthy,"Membantu kita untuk menjaga Magento Sehat"
Interface Language,"Bahasa Antarmuka"
Items %s to %s of %s total,"Barang %s ke %s dari %s total"
JavaScript seem to be disabled in your browser.,"JavaScript tampaknya dinonaktifkan pada browser Anda."
Left Column,"Kolom Kiri"
Main Content Area,"Area konten utama"
Navigation Bar,"Bar Navigasi"
Next,"Lanjut"
Next month (hold for menu),"Bulan depan (Tahan untuk menu)"
Next year (hold for menu),"Tahun depan (tahan untuk menu)"
Page Bottom,"Tombol Halaman"
Page Footer,"Halaman Footer"
Page Header,"Halaman Header"
Page Top,"Halaman atas"
Page:,"Halaman:"
Prev. month (hold for menu),"Bulan sebelum nya (tahan untuk menu)"
Prev. year (hold for menu),"Tahun sebelum nya ( tahan untuk menu)"
Previous Page,"Sebelumnya"
Redirecting...,"Meneruskan..."
Report All Bugs,"Laporkan semua Bugs"
Select Store,"Pilih Toko"
Select date,"Pilih tanggal"
Show,"Tampilkan"
Skip to Footer,"Lewati ke footer"
Skip to Left Column,"Lewati ke kolom kiri"
Skip to Main Content,"Lanjutkan ke Konten Utama"
Skip to Right Column,"Lewati ke kolom kanan"
This is a demo store. Any orders placed through this store will not be honored or fulfilled.,"Ini adalah toko demo. Semua pembelian yang dilakukan pada toko ini akan diabaikan."
Time selection:,"Pilihan waktu:"
Time:,"Waktu:"
"Welcome, %s!","Selamat Datang, %s!"
You're currently on:,"Anda berada di:"
Your Language,"Bahasa Anda"
Your Language:,"Bahasa anda:"
per page,"per halaman"
