Alert Email Sender,"Pemberitahuan Email pengirim"
Alert subscription was deleted successfully,"Pemberitahuan berlangganan berhasil dihapus"
Alert subscription was saved successfully,"Pemberitahuan berlangganan berhasil disimpan"
Allow alert when product comes back in stock,"Ijinkan pemberitahuan ketika produk kembali tersedia"
Allow alert when product price changes,"Ijinkan pemberitahuan ketika harga produk berubah"
Click here not to receive alerts for this product,"Klik disini untuk tidak menerima pemberitahuan dari produk ini"
Error Email Recipient,"Error email penerima"
Error Email Sender,"Error email pengirim"
Error Email Template,"Error template email"
Frequency,"Frekuensi"
Not enough parameters,"Parameter tidak cukup"
Please try again later,"Silakan coba lagi nanti"
Price alert Email Template,"template email pemberitahuan harga"
Price:,"Harga:"
Product Alerts,"Pemberitahuan produk"
Product Alerts Run Settings,"Jalankan peraturan tanda produk"
Product alerts Cron error,"Pemberitahuan produk cron Error"
Product not found,"Produk tidak ditemukan"
Product price alert,"Pemberitahuan harga produk"
Product stock alert,"Pemberitahuan stok produk"
Sign up for price alert,"Daftar untuk pemberitahuan harga"
Sign up to get notified when this product is back in stock,"Daftar untuk mendapatkan notofikasi ketika produk ini kembali dalam stok"
Special price:,"Harga spesial:"
Start Time,"Waktu Mulai"
Stock alert Email Template,"template email pemberitahuan stok"
Unsubscribe from all price alerts,"Berhenti berlangganan dari semua pemberitahuan harga"
Unsubscribe from all stock alerts,"Berhenti berlangganan dari semua pemberitahuan stok"
You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:,"Anda menerima pemberitahuan ini karena Anda berlangganan untuk menerima pemberitahuan ketika produk berikut telah kembali dalam stok:"
You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:,"Anda menerima pemberitahuan ini karena Anda berlangganan untuk menerima pemberitahuan ketika harga untuk produk berikut berubah:"
You will no longer receive price alerts for this product,"Anda tidak akan lagi menerima pemberitahuan harga untuk produk ini"
You will no longer receive stock alerts,"Anda tidak akan lagi menerima pemberitahuan untuk stok ini"
You will no longer receive stock alerts for this product,"Anda tidak akan lagi menerima pemberitahuan stok untuk produk ini"
