" The customer doesn't exist in the system anymore"," Pelanggan sudah tidak ada di sistem"
"""%s"" coupon code is not valid.","Kode kupon ""%s"" tidak valid."
"%s / %s rate:","%s / %s rate:"
"%s for %s","%s for %s"
"%s order(s) successfully canceled","%s order(s) successfully canceled"
"%s order(s) successfully put on hold","%s order(s) successfully put on hold"
"%s order(s) successfully released from holding status","%s order(s) successfully released from holding status"
"* - Enter custom price excluding tax","* - Enter custom price excluding tax"
"* - Enter custom price including tax","* - Enter custom price including tax"
"-- Please Select --","-- Please Select --"
"-- Please Select Billing Agreement--","-- Please Select Billing Agreement--"
"About This Order:","About This Order:"
"About This Profile:","About This Profile:"
"About Your Invoice","About Your Invoice"
"About Your Order","About Your Order"
"About Your Refund","About Your Refund"
"About Your Shipment","About Your Shipment"
"Accept Payment","Accept Payment"
"Accept or Deny Payment","Accept or Deny Payment"
"Account Information","Account Information"
"Action","Action"
"Actions","Actions"
"Activate","Activate"
"Active","Active"
"Add","Add"
"Add New Address","Add New Address"
"Add Order Comments","Add Order Comments"
"Add Products","Add Products"
"Add Selected Product(s) to Option","Add Selected Product(s) to Option"
"Add Selected Product(s) to Order","Add Selected Product(s) to Order"
"Add To Order","Add To Order"
"Add Tracking Number","Add Tracking Number"
"Add comment to order","Add comment to order"
"Add new comment to shipment","Add new comment to shipment"
"Add new tracking number","Add new tracking number"
"Add to Cart","Add to Cart"
"Additional Product Info","Additional Product Info"
"Address","Address"
"Address model is not defined.","Address model is not defined."
"Adjustment Fee","Adjustment Fee"
"Adjustment Refund","Adjustment Refund"
"Agreement Information","Agreement Information"
"Allow Reorder","Allow Reorder"
"Amount","Amount"
"Amount: %s.","Amount: %s."
"An error occurred while assigning order status. Status has not been assigned.","An error occurred while assigning order status. Status has not been assigned."
"An error occurred while saving order status. The status has not been added.","An error occurred while saving order status. The status has not been added."
"An error occurred while unassigning order status.","An error occurred while unassigning order status."
"An error occurred while updating the order address. The address has not been changed.","An error occurred while updating the order address. The address has not been changed."
"An item option with code %s already exists.","An item option with code %s already exists."
"Append Comments","Append Comments"
"Apply","Apply"
"Apply Coupon Code","Apply Coupon Code"
"Approved the payment online.","Approved the payment online."
"Are you sure you want to accept this payment?","Are you sure you want to accept this payment?"
"Are you sure you want to cancel this order?","Are you sure you want to cancel this order?"
"Are you sure you want to deny this payment?","Are you sure you want to deny this payment?"
"Are you sure you want to do this?","Are you sure you want to do this?"
