"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled."
"Actions","Actions"
"Active","Active"
"Add New Rule","Add New Rule"
"Apply","Apply"
"Apply To","Apply To"
"Apply the rule only if the following conditions are met (leave blank for all products)","Apply the rule only if the following conditions are met (leave blank for all products)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Apply the rule only to cart items matching the following conditions (leave blank for all items)"
"Apply the rule to cart items matching the following conditions","Apply the rule to cart items matching the following conditions"
"Apply to Shipping Amount","Apply to Shipping Amount"
"Auto","Auto"
"Buy X get Y free (discount amount is Y)","Buy X get Y free (discount amount is Y)"
"By Fixed Amount","By Fixed Amount"
"By Fixed value","By Fixed value"
"By Percentage","By Percentage"
"By Percentage of the Original Price","By Percentage of the Original Price"
"Can\'t acquire coupon.","Can\'t acquire coupon."
"Cart Attribute","Cart Attribute"
"Catalog","Catalog"
"Conditions","Conditions"
"Conditions combination","Conditions combination"
"Coupon","Coupon"
"Coupon Code","Coupon Code"
"Customer Groups","Customer Groups"
"Customer is new buyer: %s","Customer is new buyer: %s"
"Customer registered: %s","Customer registered: %s"
"Date Expire","Date Expire"
"Date Start","Date Start"
"Default Label","Default Label"
"Default Rule Label for All Store Views","Default Rule Label for All Store Views"
"Delete Rule","Delete Rule"
"Description","Description"
"Description: %s","Description: %s"
"Discount Amount","Discount Amount"
"Discount Qty Step (Buy X)","Discount Qty Step (Buy X)"
"Edit Rule","Edit Rule"
"Edit Rule '%s'","Edit Rule '%s'"
"Expire at: %s","Expire at: %s"
"FOUND","FOUND"
"Fixed amount discount","Fixed amount discount"
"Fixed amount discount for whole cart","Fixed amount discount for whole cart"
"For matching items only","For matching items only"
"For shipment with matching items","For shipment with matching items"
"Free Shipping","Free Shipping"
"From Date","From Date"
"General Information","General Information"
"ID","ID"
"Inactive","Inactive"
"Item totals are not set for rule.","Item totals are not set for rule."
"Labels","Labels"
"Maximum Qty Discount is Applied To","Maximum Qty Discount is Applied To"
"NOT FOUND","NOT FOUND"
"NOT LOGGED IN","NOT LOGGED IN"
"Name: %s","Name: %s"
"New Rule","New Rule"
"No","No"
"No Coupon","No Coupon"
"Number of Uses","Number of Uses"
"Payment Method","Payment Method"
"Percent of product price discount","Percent of product price discount"
"Period","Period"
"Price in cart","Price in cart"
"Priority","Priority"
"Product attribute combination","Product attribute combination"
"Products subselection","Products subselection"
"Promotions","Promosi"
"Public In RSS Feed","Publik pada RSS Feed"
"Quantity in cart","Kuantitas di keranjang"
"Row total in cart","Baris total di keranjang"
"Rule Information","Informasi aturan"
"Rule Name","Nama Aturan"
"Rule was successfully deleted","Aturan berhasil dihapus"
"Rule was successfully saved","Aturan berhasil disimpan"
"Save Rule","Simpan Aturan"
"Shipping Country","Negara Pengiriman"
"Shipping Method","Metode Pengiriman"
"Shipping Postcode","Kode Pos Pengiriman"
"Shipping Region","Wilayah Pengiriman"
"Shipping State/Province","Negara Bagian/Provinsi Pengiriman"
"Shopping Cart Price Rule","Shopping Cart Price Rule"
"Shopping Cart Price Rules","Aturan Harga Keranjang Belanja"
"Special price","Harga spesial"
"Start at: %s","Mulai dari: %s"
"Status","Status"
"Stop further rules processing","Hentikan memproses aturan lebih lanjut"
"Subtotal","Subtotal"
"The page you are trying to save no longer exists","Halaman yang akan ada simpan sudha tidak ada"
"This rule no longer exists","Aturan ini sudah tidak ada"
"To Date","Ke Tanggal"
"To Fixed Amount","Ke Nilai Tetap"
"To Fixed Value","Ke Nilai Tetap"
"To Percentage","Ke Persentasi"
"To Percentage of the original price","Ke Persentasi dari harga awal"
"Total Items Quantity","Total kuantitas barang"
"Total Weight","Total Berat"
"Unable to find a page to delete","Tidak dapat menemukan halaman untuk dihapus"
"Update prices using the following information","Perbaharui harga dengan menggunakan informasi berikut"
"Update product's %s %s: %s","Perbaharu produk %s %s: %s"
"Update the Product","Perbaharui Produk"
"Uses per coupon","Penggunaan per kupon"
"Uses per customer","Penggunaan per konsuman"
"Yes","Ya"
