"Add Recipient","Tambah Penerima"
"Allow for Guests","Perbolehkan Tamu"
"Email Address","Alamat Email"
"Email Address:","Alamat Email:"
"Email templates","Kerangka Email"
"Email to a Friend","Email ke teman"
"Email:","Email:"
"Enabled","Aktif"
"Limit Sending By","Batasi Pengiriman Dari"
"Link to a friend was sent.","Tautan untuk teman telah dikirim."
"Max Products Sent in 1 Hour","Maksimal Produk Terkirim dalam 1 Jam"
"Max Recipients","Maksimal Penerima"
"Maximum %d email addresses allowed.","Maksimum %s alamat email yang diperbolehkan."
"Message:","Pesan:"
"Name","Nama"
"Name:","Nama:"
"Recipient:","Penerima:"
"Remove Email","Buang Email"
"Select email template","Pilih template email"
"Send email","Kirim email"
"Send product to a friend","kirim produk ke teman"
"Sender:","Pengirim:"
"Some emails was not sent","Beberapa email tidak terkirim"
"Some problems with data.","Beberapa masalah pada data."
"You cannot email this product to a friend","Anda tidak dapat meng-email produk ini ke teman anda"
"You cannot send more than %d times in an hour","Anda tidak dapat mengirim lebih dari %d kali dalam satu jam"
